event_id,season,season_num,event_name,location,country,team,finish_position,is_event_winner,notes
S1E1,2019,1,Sydney Sail Grand Prix,Sydney,Australia,Australia,1,TRUE,
S1E1,2019,1,Sydney Sail Grand Prix,Sydney,Australia,Japan,2,FALSE,
S1E1,2019,1,Sydney Sail Grand Prix,Sydney,Australia,Great Britain,3,FALSE,
S1E1,2019,1,Sydney Sail Grand Prix,Sydney,Australia,China,4,FALSE,
S1E1,2019,1,Sydney Sail Grand Prix,Sydney,Australia,France,5,FALSE,
S1E1,2019,1,Sydney Sail Grand Prix,Sydney,Australia,USA,6,FALSE,
S1E2,2019,1,San Francisco Sail Grand Prix,San Francisco,USA,Australia,1,TRUE,
S1E2,2019,1,San Francisco Sail Grand Prix,San Francisco,USA,Japan,2,FALSE,
S1E2,2019,1,San Francisco Sail Grand Prix,San Francisco,USA,Great Britain,3,FALSE,
S1E2,2019,1,San Francisco Sail Grand Prix,San Francisco,USA,USA,4,FALSE,
S1E2,2019,1,San Francisco Sail Grand Prix,San Francisco,USA,France,5,FALSE,
S1E2,2019,1,San Francisco Sail Grand Prix,San Francisco,USA,China,6,FALSE,
S1E3,2019,1,New York Sail Grand Prix,New York,USA,Japan,1,TRUE,Match race final win over Australia
S1E3,2019,1,New York Sail Grand Prix,New York,USA,Australia,2,FALSE,
S1E3,2019,1,New York Sail Grand Prix,New York,USA,Great Britain,3,FALSE,
S1E3,2019,1,New York Sail Grand Prix,New York,USA,USA,4,FALSE,
S1E3,2019,1,New York Sail Grand Prix,New York,USA,France,5,FALSE,
S1E3,2019,1,New York Sail Grand Prix,New York,USA,China,6,FALSE,
S1E4,2019,1,Cowes Sail Grand Prix,Cowes,Great Britain,Australia,1,TRUE,First team to break 50 knots in competition
S1E4,2019,1,Cowes Sail Grand Prix,Cowes,Great Britain,Japan,2,FALSE,
S1E4,2019,1,Cowes Sail Grand Prix,Cowes,Great Britain,Great Britain,3,FALSE,
S1E4,2019,1,Cowes Sail Grand Prix,Cowes,Great Britain,USA,4,FALSE,
